"date","Apple","IBM","ITW","TESLA"
2011-09-06,13.562143,165.110001,43.400002,4.588
2011-09-07,13.711785,167.309998,45,4.768
2011-09-08,13.719286,165.25,44.150002,4.722
2011-09-09,13.481428,161.369995,42.509998,4.594
2011-09-12,13.569285,162.419998,42.360001,4.576
2011-09-13,13.736428,163.429993,43.41,4.816
2011-09-14,13.903571,167.240005,44.799999,4.868
2011-09-15,14.034286,170.089996,45.599998,4.964
2011-09-16,14.303572,172.990005,45.389999,5.16
2011-09-19,14.701072,173.130005,45.110001,5.154
2011-09-20,14.766071,174.720001,45,5.202
2011-09-21,14.719286,173.020004,43.650002,5.17
2011-09-22,14.350715,168.619995,42.080002,5.126
2011-09-23,14.439285,169.339996,42.66,5.276
2011-09-26,14.398929,174.509995,44.080002,5.104
2011-09-27,14.259286,177.710007,44.959999,5.238
2011-09-28,14.178928,177.550003,42.959999,4.918
2011-09-29,13.948929,179.169998,43.200001,4.824
2011-09-30,13.618571,174.869995,41.599998,4.878
2011-10-03,13.378572,173.289993,40.150002,4.746
2011-10-04,13.303572,174.740005,41.849998,4.732
2011-10-05,13.508928,176.850006,42.849998,5.074
2011-10-06,13.4775,181.690002,43.849998,5.392
2011-10-07,13.207143,182.389999,43.150002,5.398
2011-10-10,13.886071,186.619995,44.990002,5.576
2011-10-11,14.296071,185,44.740002,5.522
2011-10-12,14.363929,186.119995,46.02,5.56
2011-10-13,14.586785,186.820007,45.689999,5.588
2011-10-14,15.071428,190.529999,46.889999,5.61
2011-10-17,14.999643,186.589996,45.43,5.484
2011-10-18,15.08,178.899994,46.82,5.668
2011-10-19,14.236428,177.389999,46.209999,5.514
2011-10-20,14.118215,177.25,46.529999,5.468
2011-10-21,14.031072,181.630005,47.360001,5.606
2011-10-24,14.491786,182.25,48.23,5.71
2011-10-25,14.206072,180.360001,45.650002,5.65
2011-10-26,14.307143,181.970001,46.279999,5.596
2011-10-27,14.453215,185.880005,49.18,5.752
2011-10-28,14.4625,187.449997,49.130001,5.974
2011-10-31,14.456429,184.630005,48.630001,5.874
2011-11-01,14.161072,181.350006,46.650002,5.776
2011-11-02,14.193214,183.919998,47.860001,5.742
2011-11-03,14.395357,187.300003,49.52,6.492
2011-11-04,14.294286,186.380005,49.23,6.462
2011-11-07,14.276072,187.320007,49.720001,6.254
2011-11-08,14.508214,187.25,48.98,6.368
2011-11-09,14.117143,182.240005,46.139999,6.176
2011-11-10,13.757857,183.350006,46.189999,6.266
2011-11-11,13.736428,187.380005,46.93,6.728
2011-11-14,13.545,187.350006,46.34,6.644
2011-11-15,13.886786,188.75,46.240002,6.786
2011-11-16,13.741786,186.619995,45.439999,6.988
